# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
24,Turn,0,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d', '9s']",,3d,100,100
24,Turn,1,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d', '9s']",,3d,100,100
24,River,0,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d', '9s', '8d']",,3d,100,100
24,River,1,-92,92,CHECK,0,"['6h', '3h']","['9h', '8h']","['2h', '6s', '9d', '9s', '8d']",,3d,100,100
25,Pre-Flop,1,-192,192,CALL,0,"['6s', '2d']","['8d', '3d']","['4h', '9h']",,,1,1
25,Pre-Flop,0,-192,192,RAISE,98,"['6s', '2d']","['8d', '3d']","['4h', '9h']",,,2,2
25,Pre-Flop,1,-192,192,DISCARD,0,"['6s', '2d']","['8d', '3d']","['4h', '9h']",,,2,2
25,Pre-Flop,1,-192,192,CALL,0,"['6s', '2d']","['8d', '8s']","['4h', '9h']",,3d,2,2
25,Flop,1,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d']",,3d,100,100
25,Flop,0,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d']",,3d,100,100
25,Turn,1,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d', 'As']",,3d,100,100
25,Turn,0,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d', 'As']",,3d,100,100
25,River,1,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d', 'As', '3s']",,3d,100,100
25,River,0,-192,192,CHECK,0,"['6s', '2d']","['8d', '8s']","['4h', '9h', '9d', 'As', '3s']",,3d,100,100
26,Pre-Flop,0,-292,292,RAISE,98,"['9h', 'Ah']","['7d', '5s']","['3s', '7s']",,,1,1
26,Pre-Flop,1,-292,292,DISCARD,0,"['9h', 'Ah']","['7d', '5s']","['3s', '7s']",,,2,2
26,Pre-Flop,1,-292,292,FOLD,0,"['9h', 'Ah']","['2s', '5s']","['3s', '7s']",,7d,2,2
27,Pre-Flop,1,-290,290,RAISE,4,"['Ah', '2d']","['5h', 'Ad']","['5d', '8d']",,,1,1
27,Pre-Flop,0,-290,290,RAISE,94,"['Ah', '2d']","['5h', 'Ad']","['5d', '8d']",,,2,2
27,Pre-Flop,1,-290,290,CALL,0,"['Ah', '2d']","['5h', 'Ad']","['5d', '8d']",,,6,6
27,Flop,1,-290,290,CHECK,0,"['Ah', '2d']","['5h', 'Ad']","['5d', '8d', 'As']",,,100,100
